#τ ε τ_err ε_err
-1.539222531281431383e+00 -4.680655721257520052e-01 1.229679589188181765e-03 5.842618683780109734e-04
-1.539222531281431383e+00 -4.521989425621671943e-01 1.229679589187959721e-03 6.091347102583077877e-04
-1.539222531281431383e+00 -4.363323129985823834e-01 1.229679589187959721e-03 6.333929712409869239e-04
-1.539222531281431383e+00 -4.204656834349975725e-01 1.229679589187959721e-03 6.570122088984109432e-04
-1.539222531281431383e+00 -4.045990538714127061e-01 1.229679589187959721e-03 6.799686292862650028e-04
-1.539222531281431383e+00 -3.887324243078278951e-01 1.229679589187959721e-03 7.022391109480219384e-04
-1.539222531281431383e+00 -3.728657947442430842e-01 1.229679589187959721e-03 7.238012282198558189e-04
-1.539222531281431383e+00 -3.569991651806582733e-01 1.229679589187959721e-03 7.446332738174632482e-04
-1.539222531281431383e+00 -3.411325356170734624e-01 1.229679589187959721e-03 7.647142806755380384e-04
-1.539222531281431383e+00 -3.252659060534886515e-01 1.229679589187959721e-03 7.840240430235234648e-04
-1.539222531281431383e+00 -3.093992764899038406e-01 1.229679589187959721e-03 8.025431366734392391e-04
-1.539222531281431383e+00 -2.935326469263190297e-01 1.229679589187959721e-03 8.202529385010204344e-04
-1.539222531281431383e+00 -2.776660173627342187e-01 1.229679589187959721e-03 8.371356451001843446e-04
-1.539222531281431383e+00 -2.617993877991493523e-01 1.229679589187959721e-03 8.531742905918404674e-04
-1.539222531281431383e+00 -2.459327582355645969e-01 1.229679589187959721e-03 8.683527635725551974e-04
-1.539222531281431383e+00 -2.300661286719797305e-01 1.229679589188181765e-03 8.826558231818382172e-04
-1.539222531281431383e+00 -2.141994991083949751e-01 1.229679589188181765e-03 8.960691142766430417e-04
-1.539222531281431383e+00 -1.983328695448101087e-01 1.229679589187959721e-03 9.085791816965671508e-04
-1.539222531281431383e+00 -1.824662399812253533e-01 1.229679589187959721e-03 9.201734836064012768e-04
-1.539222531281431383e+00 -1.665996104176404868e-01 1.229679589187959721e-03 9.308404039033713051e-04
-1.539222531281431383e+00 -1.507329808540557314e-01 1.229679589187959721e-03 9.405692636781093352e-04
-1.539222531281431383e+00 -1.348663512904708650e-01 1.229679589187959721e-03 9.493503317181406498e-04
-1.539222531281431383e+00 -1.189997217268861096e-01 1.229679589187959721e-03 9.571748340435892732e-04
-1.539222531281431383e+00 -1.031330921633012432e-01 1.229679589187959721e-03 9.640349624693983488e-04
-1.539222531281431383e+00 -8.726646259971648778e-02 1.229679589187959721e-03 9.699238821824357482e-04
